69,31,33,67,74,2
55,38,46,81,84,3
1,84,54,69,85,2
6,46,59,5,8,1
51,26,22,13,44,1
40,10,99,63,25,2
65,16,75,70,56,2
88,67,98,91,19,3
29,75,7,50,33,1
63,15,100,10,98,2
4,1,29,59,72,1
23,60,98,56,80,3
64,76,19,44,100,3
40,66,40,30,76,2
63,35,70,16,15,1
74,60,54,63,8,2
33,32,11,49,79,2
70,5,33,77,89,2
13,13,9,7,34,0
82,65,62,26,70,3
30,56,20,97,70,2
10,28,70,40,67,2
19,51,75,73,56,2
27,15,59,38,93,2
46,5,93,30,79,2
83,26,25,51,68,2
78,28,54,32,38,2
73,85,41,98,71,3
28,79,36,91,41,2
65,80,46,23,57,2
84,27,32,39,47,2
10,69,18,61,70,2
78,46,69,52,91,3
61,75,48,2,23,2
17,17,74,20,85,2
24,46,27,6,97,2
8,36,57,64,25,1
5,6,100,57,98,2
82,68,79,8,35,2
31,11,64,29,27,1
80,75,92,28,38,3
17,85,50,75,42,2
53,58,79,91,44,3
47,91,5,27,51,2
47,55,44,78,48,2
17,95,44,60,92,3
6,83,2,98,31,2
56,69,12,76,87,3
93,27,75,35,13,2
41,2,42,15,99,1
88,15,22,94,25,2
57,82,90,13,80,3
16,57,20,16,89,1
7,78,51,84,30,2
93,30,91,96,51,3
84,85,21,23,30,2
78,30,53,37,33,2
40,84,41,31,39,2
16,11,53,49,91,2
34,14,78,64,22,2
52,93,19,25,20,2
54,37,59,6,48,2
58,39,18,77,47,2
65,95,49,93,93,3
2,12,72,81,28,1
17,43,39,32,56,1
22,3,16,23,70,1
13,30,21,69,84,2
31,57,1,2,91,1
83,79,91,57,52,3
1,100,49,16,61,2
12,70,11,100,41,2
13,13,47,53,28,1
39,25,37,65,41,2
88,2,93,44,61,2
29,19,19,9,47,1
96,57,77,83,83,3
36,1,29,92,24,1
57,29,38,56,95,2
34,85,36,76,88,3
91,98,97,74,53,4
61,26,54,42,29,2
96,76,89,76,29,3
93,49,64,15,24,2
9,78,74,61,60,2
73,24,40,47,19,2
94,67,97,30,64,3
79,78,25,28,62,2
74,97,49,75,11,3
79,32,74,15,32,2
16,65,63,5,81,2
61,21,14,1,95,1
50,3,53,43,95,2
47,74,78,2,28,2
42,66,72,73,53,3
71,96,36,66,59,3
70,32,20,57,51,2
21,13,19,29,32,1
89,86,29,83,91,3
14,7,43,94,2,1
56,42,20,39,24,1
50,28,52,6,58,1
93,7,41,13,28,1
37,77,75,73,72,3
20,14,100,25,56,2
24,91,24,34,24,1
40,7,87,69,27,2
2,32,84,5,59,1
62,95,51,73,51,3
39,21,17,93,36,2
31,80,43,46,25,2
11,16,62,16,94,1
97,70,54,95,86,4
17,97,7,22,51,1
92,60,82,38,19,2
67,60,78,34,20,2
10,16,3,31,14,0
99,94,9,47,69,3
62,87,7,11,30,1
97,76,49,17,35,2
54,29,20,54,13,1
95,34,68,35,90,3
5,28,31,50,69,1
56,89,87,75,70,3
46,19,76,19,89,2
35,39,76,69,8,2
50,5,61,9,98,2
97,93,38,89,62,3
27,2,17,41,56,1
75,82,46,56,95,3
81,99,1,82,17,2
62,24,22,77,12,1
56,23,26,79,47,2
43,40,9,19,46,1
2,18,37,63,74,1
7,88,27,61,99,2
21,71,42,75,61,2
22,23,7,46,97,1
78,62,59,26,44,2
18,36,37,77,79,2
10,75,25,5,29,1
89,46,36,37,54,2
58,60,82,71,90,3
91,76,77,58,20,3
13,61,44,87,95,3
96,100,74,32,20,3
67,47,43,68,97,3
59,91,69,10,30,2
44,62,86,40,15,2
22,15,2,33,45,1
92,21,27,71,31,2
80,52,9,91,80,3
72,92,47,82,80,3
11,84,18,38,83,2
38,5,19,87,44,1
36,90,19,6,22,1
8,37,8,70,64,1
21,17,32,89,95,2
61,19,6,12,12,1
28,51,5,7,6,0
36,85,39,75,28,2
93,95,80,80,6,3
83,74,83,99,4,3
49,92,72,31,56,3
28,56,76,60,43,2
99,71,3,19,77,2
27,14,88,53,79,2
87,1,16,14,54,1
97,67,59,87,92,4
27,83,57,85,2,2
68,36,50,59,26,2
68,5,55,76,12,2
74,94,77,92,96,4
3,31,51,7,68,1
49,89,32,29,70,2
76,53,25,61,26,2
23,76,52,63,26,2
23,72,47,53,80,2
83,66,27,25,43,2
68,40,4,73,24,2
26,26,23,26,50,1
74,34,51,19,27,2
55,79,50,16,24,2
73,92,85,79,86,4
23,39,74,8,10,1
79,57,70,58,34,2
49,67,85,10,31,2
17,16,5,20,66,1
54,67,97,11,69,2
71,70,3,23,48,2
17,75,32,29,99,2
40,79,39,7,40,2
29,53,15,25,45,1
35,52,34,97,68,2
95,98,40,39,71,3
24,70,81,85,57,3
20,17,30,35,45,1
61,79,83,15,70,3
95,73,14,79,20,2
90,65,18,53,16,2
